Index,Address,Room Count,Size,Price
215,"Tartu, Tartu linn, Kesklinn, Veski 24a",3,94.6 m²,237 000 €
216,"Tartu, Tartu linn, Veeriku, Veeriku tn 14",1,30.1 m²,72 000 €
217,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-8",3,75.4 m²,199 900 €
218,"Tartu, Tartu linn, Karlova, Kalevi tn 60-16",2,52.7 m²,149 900 €
219,"Tartu, Tartu linn, Ropka, HEA PAKKUMINE!, Aardla 9a  UUS HIND!",3,61.3 m²,103 000 €
220,"Tartu, Tartu linn, Ropka, Ropka 15A-39",3,62.3 m²,128 000 €
221,"Tartu, Tartu linn, Tammelinn, Savi tn 8-12",4,77.7 m²,183 000 €
222,"Tartu, Tartu linn, Tammelinn, Haki tn 6-6",4,86 m²,240 000 €
223,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli tn 12",3,74.8 m²,156 900 €
224,"Tartu, Tartu linn, Annelinn, Jaama 189",3,65.5 m²,125 000 €
225,"Tartu, Tartu linn, Annelinn, Kalda tee 28",1,27 m²,69 900 €
226,"Tartu, Tartu linn, Ülejõe, Ujula põik 6-1",1,31.9 m²,144 500 €
227,"Tartu, Tartu linn, Karlova, Raua 15B-8",3,94.5 m²,255 000 €
228,"Tartu, Tartu linn, Annelinn, Jaama 179",2,45.7 m²,85 000 €
229,"Tartu, Tartu linn, Tähtvere, C. R. Jakobsoni tn 18",2,46.3 m²,126 000 €
230,"Tartu, Tartu linn, Kesklinn, Lai tn 29",2,32 m²,135 000 €
231,"Tartu, Tartu linn, Karlova, Tähe tn 87  UUS HIND!",3,62.8 m²,172 000 €
232,"Tartu, Tartu linn, Veeriku, Näituse tn 36-15",6,112.9 m²,50 000 €
233,"Tartu, Tartu linn, Karlova, Kuu 19",2,53.9 m²,69 000 €
234,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-2",2,45.2 m²,130 990 €
235,"Tartu, Tartu linn, Karlova, Siili tn 10-25",2,46.8 m²,160 000 €
236,"Tartu, Tartu linn, Ülejõe, Jaama tn 65",3,77.9 m²,148 000 €
237,"Tartu, Tartu linn, Annelinn, Kaunase pst 39",4,76.4 m²,99 500 €
238,"Tartu, Tartu linn, Annelinn, Mõisavahe tn 20",2,45.6 m²,84 000 €
239,"Tartu, Tartu linn, Kesklinn, Raekoja plats 11",2,53.9 m²,235 000 €
240,"Tartu, Tartu linn, Raadi-Kruusamäe, Raadiraja tn 12-21",4,84.1 m²,239 900 €
241,"Tartu, Annelinn, Salu tee 59",2,43.7 m²,105 000 €
242,"Tartu, Tartu linn, Ränilinn, Kvartsi tn 8",3,67.8 m²,194 000 €
243,"Tartu, Tartu linn, Karlova, Tolstoi 22-3",1,29.9 m²,79 000 €
244,"Tartu, Tartu linn, Kesklinn, Jakobi 19",3,59.3 m²,174 000 €
245,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 32/1-16",3,63.4 m²,250 000 €
246,"Tartu, Kesklinn, Võru 20",2,52.1 m²,149 000 €
247,"Tartu, Tartu linn, Ropka, Aardla 5",3,66.1 m²,120 000 €
248,"Tartu, Tartu linn, Kesklinn, Võru tn 65a-7",4,68.9 m²,238 000 €
249,"Tartu, Ülejõe, Pikk 78",3,57.7 m²,103 500 €
250,"Tartu, Tartu linn, Ülejõe, Uus tn 36",3,48 m²,129 000 €
251,"Tartu, Tartu linn, Raadi-Kruusamäe, Vahi tn 64-7",2,50.2 m²,151 900 €
252,"Tartu, Tartu linn, Kesklinn, Lossi tn 21",3,110 m²,399 000 €
253,"Tartu, Tartu linn, Ränilinn, Aardla tn 124",2,43.1 m²,124 500 €
254,"Tartu, Ülejõe, Aruküla tee 2",2,44.9 m²,169 000 €
255,"Tartu, Tartu linn, Karlova, Võru tn 65a-7",4,68.9 m²,238 000 €
256,"Tartu, Tartu linn, Pärna tn 23 // 25",1,29 m²,86 000 €
257,"Tartu, Kesklinn, Fortuuna 27-17",4,129 m²,699 000 €
258,"Tartu, Annelinn, Nõlvaku 9",4,78.5 m²,125 000 €
259,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 1 (Broneeritud)",2,46.8 m²,83 900 €
260,"Tartu, Kesklinn, Vallikraavi tn 11",4,86.3 m²,230 000 €
261,"Tartu, Tartu linn, Kesklinn, Lao 2",2,45 m²,89 000 €
262,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-3",3,52.9 m²,151 990 €
263,"Tartu, Tartu linn, Annelinn, Kaunase pst 17",4,75.9 m²,118 000 €
264,"Tartu, Kesklinn, Kummeli tn 10b",3,62.9 m²,174 000 €
265,"Tartu, Tartu linn, Ülejõe, Ujula põik 1-6",2,50.8 m²,232 000 €
266,"Tartu, Tartu linn, Variku, Rehetare tee 11-3",4,164.9 m²,285 000 €
267,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-10 (Broneeritud)",1,37.7 m²,119 990 €
268,"Tartu, Tartu linn, Annelinn, Mõisavahe 71/1b",3,63.9 m²,178 900 €
269,"Tartu, Karlova, Võru 38",1,23.6 m²,67 000 €
270,"Tartu, Tartu linn, Karlova, Ees-Karlova, Tolstoi 12 (Broneeritud)",3,97.2 m²,220 000 €
271,"Tartu, Tartu linn, Ränilinn, Teemandi tn 3",2,49.9 m²,89 000 €
272,"Tartu, Annelinn, Kaunase pst 28",4,76.6 m²,125 000 €
273,"Tartu, Tartu linn, Kesklinn, Aleksandri tn 23  UUS HIND!",1,38.3 m²,80 900 €
274,"Tartu, Tartu linn, Annelinn, Kalda tee 42",3,65.2 m²,99 000 €
275,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 14-30",2,38.1 m²,124 990 €
276,"Tartu, Tartu linn, Supilinn, Tähtvere tn 3b-M11",0,52.4 m²,17 850 €
277,"Tartu, Ropka, Aardla 17",2,27.8 m²,59 000 €
278,"Tartu, Tartu linn, Kesklinn, Riia kvartal, Riia 22-46",3,85.7 m²,330 000 €
279,"Tartu, Tartu linn, Karlova, Rebase 17-13",2,44 m²,144 400 €
280,"Tartu, Kesklinn, Vallikraavi tn 14",1,21.6 m²,129 000 €
281,"Tartu, Tartu linn, Karlova, Siili tn 10-23 (Broneeritud)",3,92.7 m²,228 000 €
282,"Tartu, Tartu linn, Kesklinn, Raekoja plats 4-9",3,51.6 m²,259 990 €
283,"Tartu, Tartu linn, Ülejõe, Ujula põik 1-3",2,40.1 m²,178 000 €
284,"Tartu, Tartu linn, Kesklinn, Kroonuaia 13",1,15.9 m²,51 000 €
