ads_oid,ehr_gid,ehr_kood,ehr_url,etak_id,taisaadres,lahiaadres,kaos_kood,kaos_nimet,unik,MYRAKLASS
EE00766621,"104033802",104033802,https://livekluster.ehr.ee/ui/ehr/v1/building/104033802,727145,"Tartu maakond, Tartu linn, Tartu linn, Kesk tn 28",Kesk tn 28,"11101",Üksikelamu,Jah,"55"
EE00774155,"104042171",104042171,https://livekluster.ehr.ee/ui/ehr/v1/building/104042171,721931,"Tartu maakond, Tartu linn, Tartu linn, Vaba tn 42b",Vaba tn 42b,"11101",Üksikelamu,Jah,"55"
EE01036770,"120305504",120305504,https://livekluster.ehr.ee/ui/ehr/v1/building/120305504,729113,"Tartu maakond, Tartu linn, Tartu linn, Teguri tn 33",Teguri tn 33,"11101",Üksikelamu,Jah,"55"
EE00748782,"104014687",104014687,https://livekluster.ehr.ee/ui/ehr/v1/building/104014687,722501,"Tartu maakond, Tartu linn, Tartu linn, Raua tn 1a",Raua tn 1a,"11101",Üksikelamu,Jah,"55"
EE00773043,"104040962",104040962,https://livekluster.ehr.ee/ui/ehr/v1/building/104040962,725151,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 58",Kalevi tn 58,"11101",Üksikelamu,Jah,"55"
EE00747985,"104013822",104013822,https://livekluster.ehr.ee/ui/ehr/v1/building/104013822,722789,"Tartu maakond, Tartu linn, Tartu linn, Kalevi tn 90",Kalevi tn 90,"11101",Üksikelamu,Jah,"55"
EE01936251,"104034068",104034068,https://livekluster.ehr.ee/ui/ehr/v1/building/104034068,721182,"Tartu maakond, Tartu linn, Tartu linn, Pargi tn 1a",Pargi tn 1a,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00756307,"104022694",104022694,https://livekluster.ehr.ee/ui/ehr/v1/building/104022694,721780,"Tartu maakond, Tartu linn, Tartu linn, Lootuse tn 15",Lootuse tn 15,"11101",Üksikelamu,Jah,"55"
EE00772062,"104039899",104039899,https://livekluster.ehr.ee/ui/ehr/v1/building/104039899,5693945,"Tartu maakond, Tartu linn, Tartu linn, Teguri tn 33a",Teguri tn 33a,"11101",Üksikelamu,Jah,"55"
EE00749532,"104015504",104015504,https://livekluster.ehr.ee/ui/ehr/v1/building/104015504,716824,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 124",Võru tn 124,"11101",Üksikelamu,Jah,"55"
EE00747617,"104013405",104013405,https://livekluster.ehr.ee/ui/ehr/v1/building/104013405,725535,"Tartu maakond, Tartu linn, Tartu linn, Aardla tn 7",Aardla tn 7,"11101",Üksikelamu,Jah,"55"
EE00750631,"104016685",104016685,https://livekluster.ehr.ee/ui/ehr/v1/building/104016685,729073,"Tartu maakond, Tartu linn, Tartu linn, Tähe tn 115a",Tähe tn 115a,"11101",Üksikelamu,Jah,"55"
EE00749549,"104015521",104015521,https://livekluster.ehr.ee/ui/ehr/v1/building/104015521,724067,"Tartu maakond, Tartu linn, Tartu linn, Võru tn 142",Võru tn 142,"11101",Üksikelamu,Jah,"55"
EE00747660,"104013449",104013449,https://livekluster.ehr.ee/ui/ehr/v1/building/104013449,715307,"Tartu maakond, Tartu linn, Tartu linn, Aleksandri tn 36",Aleksandri tn 36,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749003,"104014928",104014928,https://livekluster.ehr.ee/ui/ehr/v1/building/104014928,723354,"Tartu maakond, Tartu linn, Tartu linn, Side tn 2",Side tn 2,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
EE00749347,"104015310",104015310,https://livekluster.ehr.ee/ui/ehr/v1/building/104015310,723043,"Tartu maakond, Tartu linn, Tartu linn, Vaba tn 21",Vaba tn 21,"11222",Muu kolme või enama korteriga elamu,Jah,"55"
