Index,Address,Room Count,Size,Price,Teenus_arv,Teenustase,Tookoht_protsent,Kool_arv,Lasteaed_arv,Toidupood_arv,Toidukoht_arv,Parkimisnorm,Parkimis_koefitsent,MYRAKLASS,Longitude,Latitude,Distance
94,"Tartu, Tartu linn, Karlova, Turu tn 35",1,32.7,68900,11.0,-,43.543711,2.0,0.0,3.0,8.0,100.0,1.0,60.0,26.739593237689395,58.3642895,2031.9838442748166
95,"Tartu, Kesklinn, Jaama tn 52-2",4,86.1,289900,14.0,Baastase,55.04044478,2.0,2.0,8.0,8.0,72.0,0.72479778,55.0,26.73952554529616,58.384876000000006,1141.1673259187103
96,"Tartu, Tartu linn, Jaamamõisa, Lääne tn 9-28",3,56.0,100000,12.0,Baastase,51.26807142,2.0,1.0,3.0,6.0,74.0,0.74365964,40.0,26.754043412574063,58.38411,1911.8138643133714
97,"Tartu, Tartu linn, Ülejõe, Põllu 6",2,45.3,86000,4.0,-,44.36538862,0.0,1.0,2.0,2.0,100.0,1.0,46.17695630081301,26.713312245967742,58.400009,2278.6209197400617
98,"Tartu, Tartu linn, Kesklinn, Tiigi 13",2,36.8,135000,95.0,Hea tase,65.87342168,3.0,6.0,10.0,112.0,34.0,0.34126578,50.0,26.71802205,58.37667705,455.0298123888864
99,"Tartu, Tartu linn, Karlova, Turu tn 31",1,33.3,75900,11.0,Baastase,51.48569379,2.0,1.0,3.0,9.0,74.0,0.74257153,55.0,26.73959681268012,58.365728,1894.9135005563785
100,"Tartu, Tartu linn, Karlova, rebase 17",1,17.2,95000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.7446766906556,58.367695,1904.8299603547478
101,"Tartu, Tartu linn, Raadi-Kruusamäe, Kummeli 4a-7",2,50.2,145900,4.0,-,10.46764837,0.0,1.0,2.0,1.0,100.0,1.0,40.0,26.71618982544399,58.40139475,2398.4394353691055
102,"Tartu, Tartu linn, Ropka, Aardla tn 5",3,62.6,115000,6.0,Baastase,65.15818231,2.0,4.0,3.0,9.0,67.0,0.67420909,50.0,26.728737492537345,58.3563645,2670.6909792194974
103,"Tartu, Tartu linn, Kesklinn, Küüni tn 5b",4,186.2,426000,125.0,Hea tase,74.48774339,4.0,5.0,11.0,153.0,26.0,0.25512257,46.17695630081301,26.72314240531233,58.379414350000005,91.87982707853008
104,"Tartu, Kesklinn, Savi tn 6a",4,71.8,249000,4.0,Baastase,37.86653336,1.0,2.0,2.0,1.0,81.0,0.81066733,40.0,26.69286707363009,58.3579106,3011.478704539663
105,"Tartu, Tartu linn, Annelinn, Pikk 100",3,65.0,119000,29.0,Hea tase,56.28881915,3.0,2.0,7.0,18.0,44.0,0.43711181,55.0,26.74770630828548,58.37583485,1562.3100559404502
106,"Tartu, Tartu linn, Annelinn, Kalda tee 28-46",2,47.4,95000,14.0,Baastase,36.7939511,4.0,6.0,8.0,5.0,82.0,0.81603024,55.0,26.76469315909091,58.3718615,2646.521317344958
107,"Tartu, Tartu linn, Karlova, Salme 8",2,45.2,95000,8.0,Baastase,59.47459125,2.0,2.0,6.0,12.0,70.0,0.70262704,40.0,26.73294490491453,58.3686005,1425.0632712691563
108,"Tartu, Tartu linn, Raadi-Kruusamäe, Erminurme tee 18-5",2,48.3,154900,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.752218060396828,58.3977279,2631.3681970651337
109,"Tartu, Tartu linn, Ropka tööstusrajoon, Aardla tn 4-9",1,9.6,41000,6.0,Baastase,60.40913029,2.0,5.0,3.0,10.0,70.0,0.69795435,55.0,26.728989439061124,58.355562,2761.2654382755672
110,"Tartu, Tartu linn, Tammelinn, Riia tn 61",4,127.0,480000,22.0,-,63.14602621,2.0,0.0,4.0,23.0,100.0,1.0,65.0,26.70710652953026,58.36794445,1618.6852030031096
111,"Tartu, Tartu linn, Veeriku, Tulbi tn 2c",4,111.5,205000,23.0,Baastase,24.44798203,1.0,3.0,3.0,4.0,88.0,0.87776009,50.0,26.69201060793577,58.3727995,1948.2049571506868
112,"Tartu, Tartu linn, Ropka, Ropka tn 15a-15",3,62.4,110000,4.0,Baastase,60.50196532,2.0,4.0,4.0,8.0,70.0,0.69749017,46.17695630081301,26.726130394635,58.3573626,2542.6121442973736
113,"Tartu, Tartu linn, Kesklinn, Pikk tn 2-73 (Broneeritud)",1,29.7,87000,46.0,Hea tase,60.8146429,2.0,3.0,11.0,32.0,39.0,0.39185357,50.0,26.72950014458805,58.385105,699.8680451321703
114,"Tartu, Tartu linn, Ülejõe, Aruküla tee 24",2,44.0,99000,3.0,-,10.46764837,0.0,0.0,2.0,0.0,100.0,1.0,55.0,26.707720559102626,58.4022557,2610.3987597952732
115,"Tartu, Tartu linn, Variku, Pärnaõie tn 15  UUS HIND!",3,53.7,153000,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.17695630081301,26.712120852026835,58.3169696,7056.724350070192
116,"Tartu, Tartu linn, Annelinn, Kaunase pst 3",3,63.3,109000,12.0,Baastase,29.6979463,4.0,5.0,8.0,5.0,85.0,0.85151027,46.17695630081301,26.7650344251386,58.373073000000005,2621.8235825291736
117,"Tartu, Tartu linn, Supilinn, Tähtvere tn 59-5",1,27.7,49500,13.0,Baastase,45.30128194,1.0,2.0,2.0,7.0,77.0,0.77349359,45.0,26.707937686467886,58.38644325,1096.384308267788
118,"Tartu, Tartu linn, Annelinn, Mõisavahe 63",3,64.5,99000,6.0,Baastase,33.57136216,1.0,2.0,5.0,3.0,83.0,0.83214319,40.0,26.772082883809503,58.36681455,3269.034390934897
119,"Tartu, Tartu linn, Ülejõe, Uus tn 63a",2,44.0,125900,32.0,Hea tase,56.94031932,4.0,2.0,6.0,18.0,43.0,0.43059681,40.0,26.745651068572624,58.3785478232904,1378.9155622473527
120,"Tartu, Tartu linn, Annelinn, Ihaste põik 22",3,58.1,195000,2.0,-,6.69261313,0.0,0.0,4.0,1.0,100.0,1.0,50.0,26.76319469403837,58.3665516,2830.6423622098614
121,"Tartu, Kesklinn, Tiigi tn 23",2,38.5,119000,40.0,Hea tase,58.31985943,3.0,6.0,7.0,38.0,42.0,0.41680141,40.0,26.71299638110478,58.3758033,723.3912591416713
122,"Tartu, Tartu linn, Annelinn, Kaunase pst 57-6",4,76.1,95000,17.0,Baastase,30.45084213,2.0,6.0,7.0,8.0,85.0,0.84774579,46.17695630081301,26.773675,58.3731035,3107.149959104789
123,"Tartu, Tartu linn, Jaamamõisa, Lehe tn 23-5",2,34.9,119900,8.0,Baastase,17.61379012,3.0,1.0,4.0,2.0,91.0,0.91193105,45.0,26.76194246137837,58.38255045,2337.0534390050007
124,"Tartu, Karlova, Nõva 1",2,48.6,112000,11.0,Baastase,62.42716081,2.0,1.0,4.0,9.0,69.0,0.6878642,40.0,26.73802173367524,58.36720755,1706.3953901484783
